SR_NODD,CURRENT_STATUS,OFF_NAME,AGENCY_TYPE,STATE_NM,APP_ID,APP_NAME,BENF_TYPE_DESC,GENDER,BENF_CATEGORY_DESC,BENF_SPECIAL_CD,DOB,MOBILE,UNIT_ADDR,UNIT_TALUK_BLOCK,DISTRICT_NAME,IND_TYPE,ACTIVITY_NAME,PROD_DESC,IFSC_CODE,BANK_NAME,BANK_ADDRESS,BANK_F_DATE,PROJ_COST,TOT_SAMC_FB,CGTSI,IST_LOAN_REL,MM_CLAIM_DT,MM_CLAIM_AMT,MM_REL_DT,MM_REL_AMT,EDP_TRG_NM,EDP_CERT_DT,CERT_TYPE,ONLINE_PROMO,TEL_NO,E_MAIL,IND_GRP_LONG_DESC,APR_YR,ANNUAL_TURNOVER,SUSTAINABILITY_SCORE,OPERATIONAL_STATUS,EMPLOYMENT_AT_SETUP,MARGIN_MONEY_SUBSIDY_RS,SECTOR
1,Operational,Office_78,State,ODISHA,APP2025140815,Applicant_1,Individual,Female,SC,PWD,1975-05-23,9862281390,Address_459,Block_D,District_44,Urban,Education Center,Product_7,IFSC439815,Kotak Bank,Bank_Address_41,2022-10-04,626690,1081430,366116,Yes,2022-05-24,1179809,2020-08-06,784119,Training_48,2022-08-28,A,Yes,0196052769,applicant_1@email.com,Services,2025-26,872549,75.80139858404064,Operational,13,938595,Services
2,Non-Operational,Office_11,DIC,UTTARAKHAND,APP2025753282,Applicant_2,Individual,Male,Scheduled Tribe,NA,1985-07-03,9897058504,Address_454,Block_A,District_13,Urban,Textile Unit,Product_35,IFSC625926,Kotak Bank,Bank_Address_3,2020-04-13,2050040,1389054,110110,Partial,2020-01-21,1904589,2023-02-24,338615,Training_46,2023-02-17,NA,No,0162216580,applicant_2@email.com,Manufacturing,2024-25,1615684,82.59614932321463,Non-Operational,12,1455317,Manufacturing
3,Operational,Office_55,KVIC,JHARKHAND,APP2025687547,Applicant_3,Individual,Female,Scheduled Caste,EX-SERVICEMAN,2014-07-20,9812417854,Address_81,Block_D,District_5,Rural,Education Center,Product_18,IFSC352835,Axis Bank,Bank_Address_14,2023-07-17,1843413,1408945,124297,Yes,2022-04-09,661289,2021-01-22,991855,Training_25,2021-03-31,B,No,0215064747,applicant_3@email.com,Services,2025-26,435292,84.60835493304695,Non-Operational,10,188242,Services
4,Closed,Office_24,State,BIHAR,APP2025122297,Applicant_4,Individual,Male,Scheduled Caste,EX-SERVICEMAN,1963-12-02,9813462961,Address_339,Block_A,District_50,Urban,Handicraft,Product_66,IFSC409783,Bank of Baroda,Bank_Address_61,2020-04-05,1781637,276482,486995,Partial,2023-03-17,620385,2020-12-04,837866,Training_47,2023-03-17,NA,No,0217220644,applicant_4@email.com,Services,2025-26,2728856,97.21814243995094,Non-Operational,18,382028,Manufacturing
5,Closed,Office_11,DIC,MADHYA PRADESH,APP2025566904,Applicant_5,Individual,Male,Scheduled Tribe,EX-SERVICEMAN,1966-06-03,9838982339,Address_254,Block_C,District_31,Urban,Video & Photo Studio,Product_98,IFSC843680,PNB,Bank_Address_118,2022-05-20,2094798,1102003,331356,No,2021-05-13,375002,2021-08-26,1202789,Training_22,2023-09-25,NA,No,0131948507,applicant_5@email.com,Manufacturing,2025-26,1894590,98.49302917906657,Non-Operational,17,315888,Services
6,Closed,Office_81,Ministry,ASSAM,APP2025936014,Applicant_6,Individual,Male,OBC,PWD,1975-11-19,9867303397,Address_131,Block_B,District_10,Rural,Service Business,Product_1,IFSC880833,IndusInd Bank,Bank_Address_116,2020-01-02,1985401,566470,172191,Partial,2022-07-04,525699,2022-01-01,305155,Training_26,2021-04-15,A,No,0376037456,applicant_6@email.com,Manufacturing,2023-24,2998438,52.18155542673344,Operational,17,482478,Services
7,Closed,Office_40,KVIB,KARNATAKA,APP2025946178,Applicant_7,Individual,Female,ST,PWD,2009-10-13,9898369180,Address_98,Block_B,District_42,Urban,Tourism Services,Product_29,IFSC552089,HDFC Bank,Bank_Address_8,2022-07-29,1248233,633749,82825,Yes,2021-10-27,375910,2023-01-16,246431,Training_11,2020-06-10,C,No,0189369162,applicant_7@email.com,Retail,2024-25,1233210,76.0828473354477,Closed,18,326138,Services
8,Operational,Office_95,KVIC,WEST BENGAL,APP2025181552,Applicant_8,Individual,Male,OBC,EX-SERVICEMAN,1982-01-08,9874110659,Address_189,Block_C,District_21,Urban,Retail Trading,Product_85,IFSC635115,PNB,Bank_Address_144,2023-09-10,1141358,643815,16335,No,2023-03-10,469859,2022-10-24,993760,Training_45,2023-08-11,B,No,0157216636,applicant_8@email.com,Manufacturing,2023-24,463697,53.442197554626915,Operational,5,508148,Services
9,Non-Operational,Office_63,KVIC,KERALA,APP2025628317,Applicant_9,Individual,Female,OBC,EX-SERVICEMAN,1998-11-17,9894335511,Address_432,Block_C,District_26,Rural,E-commerce,Product_6,IFSC149832,Canara Bank,Bank_Address_47,2021-08-22,642143,896394,157022,No,2022-09-04,933049,2021-08-25,392708,Training_34,2020-05-05,NA,Yes,0171595603,applicant_9@email.com,Agro-based,2025-26,4335242,27.995238923772646,Closed,1,558098,Services
10,Operational,Office_64,KVIC,CHHATTISGARH,APP2025299045,Applicant_10,Individual,Female,OBC,EX-SERVICEMAN,1968-06-15,9847079445,Address_394,Block_B,District_20,Urban,Health Care,Product_23,IFSC715804,PNB,Bank_Address_99,2021-01-10,2262667,74621,292803,Partial,2022-11-05,630993,2020-07-04,1042969,Training_10,2021-06-01,NA,No,0208063614,applicant_10@email.com,Agro-based,2025-26,541820,0.18837503646470521,Operational,3,752591,Services
